I,V,SOC,T_avg,E,Q
-1.0170000000000001,52.14625,34.0,21.84062500000002,51.12925,0.9804971594314068
-1.055375,52.07165625,34.0,21.935937500000016,51.01628125,0.9797322559717889
-19.441499999999998,53.728,92.5,29.65000000000002,34.286500000000004,0.6381495681953544
-6.034,52.61811111111111,79.77777777777777,29.49444444444447,46.58411111111111,0.8853246558536034
-7.201542857142857,53.94051428571428,97.68571428571428,30.588571428571456,46.738971428571425,0.8664910234448743
-15.518999999999997,52.38053846153845,68.6923076923077,30.12307692307694,36.86153846153845,0.7037258406307686
-10.83172727272727,53.445727272727275,97.54545454545455,32.25000000000002,42.614000000000004,0.7973322129671052
-14.155583333333333,52.516083333333334,77.75,31.870833333333355,38.3605,0.7304524169579796
-10.34288888888889,52.39555555555555,60.666666666666664,31.038888888888906,42.05266666666667,0.8025998812452286
-4.748,53.286500000000004,91.5,33.281250000000014,48.538500000000006,0.9108967562140505
-10.431444444444445,52.40144444444444,60.55555555555556,31.95555555555557,41.96999999999999,0.8009321201917674
4.276000000000001,53.61000000000001,91.83333333333333,33.65000000000001,57.88600000000001,1.0797612385748927
-11.673181818181819,52.37327272727273,61.0,31.900000000000023,40.70009090909091,0.777115669685787
-0.536794117647059,52.864264705882356,66.0,31.582352941176488,52.32747058823529,0.9898458037649139
-0.636,53.747,91.0,32.75,53.111,0.9881667814017526
5.879434782608696,52.68178260869564,61.26086956521739,31.45652173913046,58.56121739130434,1.1116028063491958
4.982764705882355,52.875882352941176,61.529411764705884,31.07647058823532,57.85864705882353,1.094235112193928
-1.030923076923077,52.89269230769231,82.0,22.40769230769232,51.861769230769234,0.9805091586012319
-1.0194999999999999,52.87266666666668,82.0,22.43333333333335,51.85316666666668,0.9807178252152972
-1.045,52.885,82.0,22.80000000000004,51.839999999999996,0.9802401437080457
-1.0145166666666667,52.84265000000003,81.15,22.785833333333375,51.82813333333336,0.9808011773318207
-1.0158653846153847,52.798442307692305,81.0,22.905769230769234,51.78257692307692,0.9807595576646891
-0.9934912280701755,52.77115789473685,81.0,22.951754385964914,51.777666666666676,0.9811735942945974
-0.9889333333333332,52.75142222222224,81.0,22.970000000000013,51.7624888888889,0.9812529541067665
-1.0128205128205126,52.758076923076935,80.94871794871794,22.96794871794875,51.745256410256424,0.9808025505877093
-1.0124615384615383,52.73165384615384,80.0,23.07884615384618,51.7191923076923,0.98079973858936
-1.038679245283019,52.716094339622636,80.0,23.250000000000007,51.677415094339615,0.9802967336959497
-0.14904347826086964,53.982217391304346,94.73913043478261,25.40000000000002,53.833173913043474,0.9972390263782518
-1.2473125000000003,53.79570833333336,99.08333333333333,25.879166666666677,52.54839583333336,0.9768139032156375
0.15844444444444428,52.605444444444444,75.0,26.86666666666668,52.763888888888886,1.0030119400400042
-6.810529411764706,52.67294117647059,76.94117647058823,27.394117647058838,45.86241176470588,0.870701554543018
0.7165714285714285,52.545857142857145,71.0,27.17142857142858,53.26242857142857,1.0136370680303735
-15.426,53.16230769230769,94.0,29.76153846153848,37.73630769230769,0.7098320093762208
-13.276749999999995,52.584916666666665,81.91666666666667,29.437500000000014,39.30816666666667,0.7475179035813503
-3.2964642857142854,54.781428571428584,99.89285714285714,30.905357142857156,51.4849642857143,0.9398251492945994
-15.218076923076923,52.677230769230775,84.6923076923077,30.488461538461564,37.45915384615385,0.7111071197014037
-2.8433666666666664,54.78416666666667,100.0,31.440000000000023,51.9408,0.9480987511598545
-23.206625000000003,52.93362499999999,93.5,31.09375000000002,29.72699999999999,0.5615901045885294
-6.824111111111112,52.955000000000005,83.33333333333333,30.777777777777796,46.13088888888889,0.8711337718608042
-0.5880400000000001,54.74324000000001,99.72,31.802000000000028,54.15520000000001,0.9892582170876258
-10.241111111111111,52.66377777777778,83.33333333333333,31.088888888888906,42.42266666666667,0.805537856506897
-1.7736774193548388,54.76587096774195,99.90322580645162,31.862903225806477,52.99219354838711,0.9676134536342977
-2.54064,53.08847999999999,89.2,31.00600000000003,50.547839999999994,0.9521432898436724
-29.029,52.33775,84.5,28.487500000000026,23.30875,0.4453525419033107
1.2248936170212765,54.78814893617022,99.76595744680851,31.470212765957477,56.0130425531915,1.0223569082147366
-14.979103448275861,53.21494827586205,97.0,31.688793103448276,38.23584482758619,0.7185169969418108
-15.189017241379315,52.89087931034482,90.13793103448276,31.919827586206928,37.70186206896551,0.7128235068232545
-14.139982758620691,52.57824137931034,83.91379310344827,32.005172413793105,38.43825862068965,0.731067787973129
-15.41575438596492,52.456,76.9298245614035,32.01228070175439,37.040245614035086,0.7061202839338699
-17.665566666666667,52.38406666666666,69.71666666666667,31.9375,34.71849999999999,0.6627683226833604
-21.251105263157893,52.29991228070176,60.87719298245614,31.757017543859657,31.04880701754387,0.593668433914384
-22.16416363636363,52.18787272727275,51.09090909090909,31.568181818181827,30.02370909090912,0.5753004964929159
-21.103313725490207,51.90223529411763,42.21568627450981,31.730392156862756,30.798921568627424,0.5934026038396469
-21.771410714285707,51.53591071428571,33.357142857142854,32.34285714285716,29.764500000000005,0.5775487342217338
-21.28523076923076,51.05348076923077,23.634615384615383,32.89134615384617,29.768250000000005,0.5830797342605663
-20.195581818181818,50.388490909090905,15.181818181818182,33.13545454545455,30.192909090909087,0.5992024874367053
-5.116649999999999,48.633900000000004,8.85,33.34750000000001,43.517250000000004,0.8947925212660305
-2.3465,48.434,8.0,33.125000000000014,46.0875,0.9515526283189495
-0.46,48.444,5.0,24.950000000000017,47.984,0.9905045000412848
-0.471,48.583,5.0,26.25,48.112,0.9903052508078959
