time,I,V,T_max,T_min,SOC
1580515200000000000,-0.376,53.746,20.950000000000045,18.850000000000023,99.0
1580515260000000000,-0.408,53.742,20.950000000000045,18.850000000000023,99.0
1580515320000000000,-0.399,53.738,20.950000000000045,18.850000000000023,99.0
1580515380000000000,-0.372,53.732,20.950000000000045,18.850000000000023,99.0
1580515440000000000,0.622,53.712,20.850000000000023,18.75,99.0
1580515500000000000,-0.45,53.66,20.950000000000045,18.850000000000023,99.0
1580515560000000000,-12.01,53.527,20.850000000000023,18.850000000000023,99.0
1580515620000000000,-11.267,53.431,20.950000000000045,18.850000000000023,99.0
1580515680000000000,-10.588,53.373,20.950000000000045,18.850000000000023,99.0
1580515740000000000,-0.409,53.465,20.850000000000023,18.850000000000023,99.0
1580515800000000000,-0.307,53.477,20.650000000000034,18.75,99.0
1580515860000000000,-0.371,53.479,20.850000000000023,18.75,99.0
1580515920000000000,-0.392,53.483,20.850000000000023,18.75,99.0
1580515980000000000,-0.377,53.482,20.850000000000023,18.75,99.0
1580516040000000000,-0.404,53.486,20.850000000000023,18.75,99.0
1580516100000000000,-0.391,53.484,20.850000000000023,18.75,99.0
1580516160000000000,-0.382,53.483,20.850000000000023,18.75,99.0
1580516220000000000,-0.401,53.481,20.850000000000023,18.850000000000023,99.0
1580516280000000000,-0.398,53.479,20.850000000000023,18.75,99.0
1580516340000000000,-0.406,53.48,20.75,18.75,99.0
1580516400000000000,-0.405,53.478,20.850000000000023,18.650000000000034,99.0
1580516460000000000,-0.415,53.477,20.850000000000023,18.650000000000034,99.0
1580516520000000000,-0.38,53.478,20.850000000000023,18.650000000000034,99.0
1580516580000000000,-0.382,53.476,20.850000000000023,18.650000000000034,99.0
1580516640000000000,-0.41,53.471,20.850000000000023,18.75,99.0
1580516700000000000,-0.392,53.472,20.75,18.650000000000034,99.0
1580516760000000000,-0.387,53.471,20.850000000000023,18.75,99.0
1580516820000000000,-0.44,53.469,20.75,18.650000000000034,99.0
1580516880000000000,-0.393,53.469,20.75,18.55000000000001,99.0
1580516940000000000,-0.375,53.467,20.650000000000034,18.650000000000034,99.0
1580517000000000000,-0.398,53.465,20.75,18.650000000000034,99.0
1580517060000000000,-0.443,53.461,20.75,18.55000000000001,99.0
1580517120000000000,-0.362,53.463,20.650000000000034,18.55000000000001,99.0
1580517180000000000,-0.389,53.464,20.75,18.650000000000034,99.0
1580517240000000000,-0.402,53.458,20.75,18.55000000000001,99.0
