time,I,V,T_max,T_min,SOC
1546300800000000000,-22.156,52.28,14.050000000000011,12.850000000000023,70.0
1546300860000000000,-17.995,52.299,14.050000000000011,12.75,70.0
1546300920000000000,-18.158,52.298,14.050000000000011,12.75,70.0
1546300980000000000,-21.744,52.223,14.050000000000011,12.75,69.0
1546301040000000000,-21.905,52.243,14.050000000000011,12.75,69.0
1546301100000000000,-22.497,52.243,14.050000000000011,12.75,69.0
1546301160000000000,-25.348,52.228,14.050000000000011,12.75,69.0
1546301220000000000,-22.012,52.243,14.050000000000011,12.75,69.0
1546301280000000000,-22.854,52.233,14.050000000000011,12.75,69.0
1546301340000000000,-20.686,52.254,13.950000000000045,12.75,69.0
1546301400000000000,-21.213,52.241,13.950000000000045,12.650000000000034,68.0
1546301460000000000,-21.202,52.239,14.050000000000011,12.550000000000011,69.0
1546301520000000000,-21.854,52.234,13.950000000000045,12.550000000000011,68.0
1546301580000000000,-23.404,52.225,13.950000000000045,12.650000000000034,68.0
1546301640000000000,-48.292,52.013,13.950000000000045,12.550000000000011,68.0
1546301700000000000,-24.654,52.186,13.950000000000045,12.550000000000011,68.0
1546301760000000000,-24.645,52.19,13.950000000000045,12.650000000000034,67.0
1546301820000000000,-26.269,52.167,13.850000000000023,12.550000000000011,67.0
1546301880000000000,-29.977,52.129,13.850000000000023,12.550000000000011,67.0
1546301940000000000,-28.607,52.135,13.850000000000023,12.550000000000011,67.0
1546302000000000000,-52.097,51.895,13.950000000000045,12.550000000000011,67.0
1546302060000000000,-36.054,52.032,13.850000000000023,12.550000000000011,66.0
1546302120000000000,-34.828,52.035,13.850000000000023,12.550000000000011,66.0
1546302180000000000,-36.397,51.998,13.850000000000023,12.450000000000045,66.0
1546302240000000000,-36.215,51.999,13.850000000000023,12.550000000000011,65.0
1546302300000000000,-43.442,51.934,13.850000000000023,12.550000000000011,65.0
1546302360000000000,-36.373,51.988,13.850000000000023,12.550000000000011,65.0
1546302420000000000,-39.122,51.911,13.850000000000023,12.550000000000011,65.0
1546302480000000000,-35.49,51.991,13.850000000000023,12.550000000000011,64.0
1546302540000000000,-36.673,51.997,13.850000000000023,12.550000000000011,64.0
1546302600000000000,-36.627,51.984,13.850000000000023,12.550000000000011,64.0
1546302660000000000,-35.268,52.006,13.850000000000023,12.550000000000011,64.0
1546302720000000000,-35.053,52.012,13.75,12.550000000000011,63.0
1546302780000000000,-68.928,51.688,13.75,12.450000000000045,63.0
1546302840000000000,-61.623,51.668,13.75,12.550000000000011,62.0
1546302900000000000,-65.225,51.627,13.850000000000023,12.550000000000011,62.0
1546302960000000000,-66.729,51.629,13.850000000000023,12.550000000000011,62.0
1546303020000000000,-61.772,51.659,13.850000000000023,12.450000000000045,61.0
1546303080000000000,-85.709,51.43,13.850000000000023,12.450000000000045,61.0
1546303140000000000,-61.572,51.649,13.850000000000023,12.550000000000011,60.0
1546303200000000000,-61.446,51.65,13.850000000000023,12.450000000000045,60.0
1546303260000000000,-94.071,51.379,13.850000000000023,12.550000000000011,59.0
1546303320000000000,-84.323,51.391,13.850000000000023,12.550000000000011,59.0
1546303380000000000,-81.345,51.392,13.850000000000023,12.550000000000011,58.0
1546303440000000000,-79.983,51.384,13.850000000000023,12.550000000000011,58.0
1546303500000000000,-78.121,51.404,13.850000000000023,12.550000000000011,57.0
1546303560000000000,-80.665,51.359,13.850000000000023,12.550000000000011,56.0
1546303620000000000,-84.639,51.318,13.850000000000023,12.550000000000011,56.0
1546303680000000000,-81.731,51.342,14.050000000000011,12.75,55.0
1546303740000000000,-81.827,51.294,13.950000000000045,12.650000000000034,55.0
1546303800000000000,-81.411,51.302,14.050000000000011,12.75,54.0
1546303860000000000,-85.209,51.267,14.050000000000011,12.850000000000023,53.0
1546303920000000000,-86.698,51.237,14.050000000000011,12.850000000000023,53.0
1546303980000000000,-86.406,51.212,14.150000000000034,12.850000000000023,52.0
1546304040000000000,-80.866,51.283,14.25,12.850000000000023,52.0
1546304100000000000,-76.628,51.292,14.150000000000034,12.850000000000023,51.0
1546304160000000000,-78.441,51.286,14.25,12.950000000000045,50.0
1546304220000000000,-77.841,51.26,14.25,12.950000000000045,50.0
1546304280000000000,-102.616,51.04,14.25,12.950000000000045,49.0
1546304340000000000,-79.163,51.207,14.350000000000023,12.950000000000045,49.0
1546304400000000000,-79.221,51.21,14.350000000000023,13.050000000000011,48.0
1546304460000000000,-75.934,51.212,14.450000000000045,13.050000000000011,48.0
1546304520000000000,-78.731,51.17,14.450000000000045,13.350000000000023,47.0
1546304580000000000,-78.962,51.156,14.450000000000045,13.150000000000034,47.0
1546304640000000000,-84.097,51.092,14.450000000000045,13.25,46.0
1546304700000000000,-81.984,51.101,14.550000000000011,13.150000000000034,45.0
1546304760000000000,-80.07,51.064,14.75,13.25,45.0
1546304820000000000,-82.274,51.039,14.650000000000034,13.350000000000023,44.0
1546304880000000000,-84.483,50.931,14.75,13.450000000000045,44.0
1546304940000000000,-87.664,50.944,14.850000000000023,13.550000000000011,43.0
1546305000000000000,-88.585,50.907,14.850000000000023,13.550000000000011,42.0
1546305060000000000,-89.443,50.872,15.050000000000011,13.650000000000034,42.0
1546305120000000000,-89.315,50.867,15.050000000000011,13.650000000000034,41.0
1546305180000000000,-86.863,50.877,15.150000000000034,13.850000000000023,40.0
1546305240000000000,-84.016,50.876,15.150000000000034,13.850000000000023,40.0
1546305300000000000,-88.762,50.816,15.350000000000023,13.950000000000045,39.0
1546305360000000000,-83.35,50.827,15.350000000000023,14.050000000000011,39.0
1546305420000000000,-83.421,50.77,15.550000000000011,14.050000000000011,38.0
1546305480000000000,-87.68,50.727,15.550000000000011,14.150000000000034,37.0
1546305540000000000,-88.323,50.715,15.550000000000011,14.25,37.0
1546305600000000000,-89.092,50.682,15.75,14.25,36.0
1546305660000000000,-87.605,50.663,15.850000000000023,14.350000000000023,35.0
1546305720000000000,-91.939,50.604,16.05000000000001,14.450000000000045,35.0
1546305780000000000,-88.777,50.593,16.05000000000001,14.550000000000011,34.0
1546305840000000000,-81.25,50.645,16.150000000000034,14.650000000000034,34.0
1546305900000000000,-82.535,50.593,16.350000000000023,14.650000000000034,33.0
1546305960000000000,-84.423,50.505,16.350000000000023,14.75,32.0
1546306020000000000,-80.868,50.543,16.450000000000045,14.850000000000023,32.0
1546306080000000000,-83.128,50.496,16.55000000000001,14.950000000000045,31.0
1546306140000000000,-77.614,50.51,16.650000000000034,15.050000000000011,31.0
1546306200000000000,-78.239,50.489,16.850000000000023,15.150000000000034,30.0
1546306260000000000,-76.637,50.457,16.850000000000023,15.150000000000034,30.0
1546306320000000000,-79.579,50.396,16.950000000000045,15.25,29.0
1546306380000000000,-78.172,50.373,16.950000000000045,15.350000000000023,28.0
1546306440000000000,-78.057,50.332,17.150000000000034,15.350000000000023,28.0
1546306500000000000,-82.095,50.19,17.25,15.450000000000045,27.0
1546306560000000000,-84.733,50.207,17.25,15.550000000000011,27.0
1546306620000000000,-83.583,50.174,17.350000000000023,15.650000000000034,26.0
1546306680000000000,-82.696,50.134,17.450000000000045,15.75,26.0
1546306740000000000,-82.499,50.09,17.450000000000045,15.850000000000023,25.0
1546306800000000000,-0.603,50.716,17.55000000000001,15.850000000000023,24.0
1546306860000000000,-0.509,51.068,17.650000000000034,15.850000000000023,24.0
1546306920000000000,-0.522,51.176,17.650000000000034,15.850000000000023,24.0
1546306980000000000,-0.435,51.227,17.650000000000034,15.850000000000023,24.0
1546307040000000000,-0.407,51.265,17.650000000000034,15.850000000000023,24.0
1546307100000000000,-0.411,51.292,17.55000000000001,15.850000000000023,24.0
1546307160000000000,-0.436,51.311,17.650000000000034,15.75,24.0
1546307220000000000,-0.409,51.33,17.650000000000034,15.850000000000023,24.0
1546307280000000000,-0.409,51.343,17.55000000000001,15.850000000000023,24.0
1546307340000000000,-0.435,51.358,17.55000000000001,15.75,24.0
1546307400000000000,-0.408,51.369,17.55000000000001,15.850000000000023,24.0
1546307460000000000,-0.398,51.375,17.450000000000045,15.650000000000034,24.0
1546307520000000000,-0.435,51.383,17.55000000000001,15.75,24.0
1546307580000000000,-0.428,51.391,17.450000000000045,15.650000000000034,24.0
1546307640000000000,-0.407,51.397,17.450000000000045,15.550000000000011,24.0
1546307700000000000,-0.42,51.402,17.450000000000045,15.650000000000034,24.0
1546307760000000000,-0.425,51.408,17.450000000000045,15.550000000000011,24.0
1546307820000000000,-0.394,51.413,17.450000000000045,15.650000000000034,24.0
