time,I,V,T_max,T_min,SOC
1577836800000000000,-13.038,52.623,15.850000000000023,13.650000000000034,69.0
1577836860000000000,-10.508,52.627,15.850000000000023,13.650000000000034,69.0
1577836920000000000,-17.142,52.578,15.850000000000023,13.75,68.0
1577836980000000000,-13.303,52.601,15.650000000000034,13.650000000000034,68.0
1577837040000000000,-10.228,52.612,15.850000000000023,13.75,68.0
1577837100000000000,-10.962,52.608,15.850000000000023,13.75,68.0
1577837160000000000,-11.603,52.61,15.850000000000023,13.850000000000023,68.0
1577837220000000000,-15.005,52.571,15.850000000000023,13.75,68.0
1577837280000000000,-16.179,52.53,15.850000000000023,13.650000000000034,68.0
1577837340000000000,-10.958,52.546,15.850000000000023,13.650000000000034,68.0
1577837400000000000,-10.988,52.544,15.850000000000023,13.75,68.0
1577837460000000000,-36.286,52.342,15.850000000000023,13.650000000000034,68.0
1577837520000000000,-12.087,52.515,15.850000000000023,13.650000000000034,68.0
1577837580000000000,-11.468,52.533,15.850000000000023,13.650000000000034,67.0
1577837640000000000,-11.197,52.531,15.850000000000023,13.550000000000011,67.0
1577837700000000000,-11.797,52.527,15.850000000000023,13.650000000000034,67.0
1577837760000000000,-10.886,52.531,15.850000000000023,13.650000000000034,67.0
1577837820000000000,-11.556,52.474,15.75,13.650000000000034,67.0
1577837880000000000,-11.756,52.497,15.850000000000023,13.650000000000034,67.0
1577837940000000000,-11.615,52.507,15.850000000000023,13.550000000000011,67.0
1577838000000000000,-10.519,52.529,15.850000000000023,13.650000000000034,67.0
1577838060000000000,-0.443,52.657,15.850000000000023,13.650000000000034,67.0
1577838120000000000,-1.056,52.672,15.850000000000023,13.550000000000011,67.0
1577838180000000000,-14.187,52.532,15.850000000000023,13.75,67.0
1577838240000000000,-15.374,52.486,15.850000000000023,13.550000000000011,67.0
1577838300000000000,-12.334,52.485,15.850000000000023,13.550000000000011,66.0
1577838360000000000,-11.762,52.503,15.850000000000023,13.650000000000034,66.0
1577838420000000000,-11.975,52.495,15.75,13.550000000000011,66.0
1577838480000000000,-17.01,52.442,15.850000000000023,13.550000000000011,66.0
1577838540000000000,-11.028,52.469,15.75,13.550000000000011,66.0
1577838600000000000,-16.477,52.423,15.75,13.650000000000034,66.0
