time,I,V,T_max,T_min,SOC
1583020800000000000,-0.388,54.696,21.05000000000001,19.150000000000034,100.0
1583020860000000000,-0.379,54.686,21.05000000000001,19.25,100.0
1583020920000000000,-0.388,54.678,21.05000000000001,19.150000000000034,100.0
1583020980000000000,-0.409,54.666,21.05000000000001,19.150000000000034,100.0
1583021040000000000,-0.373,54.657,21.05000000000001,19.150000000000034,100.0
1583021100000000000,-1.596,54.637,21.05000000000001,19.150000000000034,100.0
1583021160000000000,-11.216,54.447,20.950000000000045,19.150000000000034,100.0
1583021220000000000,-11.647,54.217,20.950000000000045,19.05000000000001,100.0
1583021280000000000,-10.876,54.052,20.950000000000045,19.05000000000001,100.0
1583021340000000000,-11.19,53.9,20.950000000000045,19.05000000000001,100.0
1583021400000000000,-10.88,53.782,20.950000000000045,19.05000000000001,100.0
1583021460000000000,-12.207,53.666,20.950000000000045,19.05000000000001,100.0
1583021520000000000,-11.427,53.572,20.850000000000023,19.05000000000001,99.0
1583021580000000000,-12.456,53.486,20.850000000000023,19.150000000000034,99.0
1583021640000000000,-0.426,53.481,20.850000000000023,19.05000000000001,99.0
1583021700000000000,-0.428,53.519,20.850000000000023,19.05000000000001,99.0
1583021760000000000,-0.448,53.529,20.850000000000023,19.05000000000001,99.0
1583021820000000000,-0.415,53.538,20.850000000000023,19.05000000000001,99.0
1583021880000000000,-0.417,53.539,20.850000000000023,19.05000000000001,99.0
1583021940000000000,-0.415,53.545,20.850000000000023,19.05000000000001,99.0
1583022000000000000,-0.403,53.544,20.850000000000023,19.05000000000001,99.0
1583022060000000000,-0.381,53.545,20.75,19.05000000000001,99.0
1583022120000000000,-10.55,53.407,20.850000000000023,19.05000000000001,99.0
1583022180000000000,-12.093,53.323,20.650000000000034,19.05000000000001,99.0
1583022240000000000,-11.226,53.268,20.850000000000023,18.950000000000045,99.0
1583022300000000000,-10.999,53.223,20.850000000000023,19.05000000000001,99.0
1583022360000000000,-12.54,53.179,20.650000000000034,18.850000000000023,99.0
1583022420000000000,-12.713,53.142,20.650000000000034,19.05000000000001,99.0
1583022480000000000,-11.594,53.12,20.650000000000034,18.950000000000045,99.0
1583022540000000000,-11.201,53.099,20.650000000000034,18.850000000000023,99.0
1583022600000000000,-12.404,53.074,20.650000000000034,18.850000000000023,99.0
1583022660000000000,-12.753,53.048,20.650000000000034,18.850000000000023,98.0
1583022720000000000,-0.449,53.143,20.650000000000034,18.850000000000023,98.0
1583022780000000000,-0.416,53.174,20.650000000000034,18.850000000000023,98.0
1583022840000000000,-0.382,53.188,20.650000000000034,18.850000000000023,98.0
1583022900000000000,-0.426,53.198,20.650000000000034,18.850000000000023,98.0
1583022960000000000,-0.399,53.205,20.650000000000034,18.850000000000023,98.0
1583023020000000000,-0.383,53.213,20.650000000000034,18.75,98.0
1583023080000000000,-0.449,53.218,20.650000000000034,18.75,98.0
1583023140000000000,-0.447,53.22,20.650000000000034,18.75,98.0
1583023200000000000,-0.417,53.224,20.650000000000034,18.75,98.0
1583023260000000000,-0.41,53.226,20.55000000000001,18.850000000000023,98.0
1583023320000000000,-0.457,53.231,20.450000000000045,18.75,98.0
1583023380000000000,-0.421,53.233,20.55000000000001,18.850000000000023,98.0
1583023440000000000,-0.397,53.235,20.55000000000001,18.75,98.0
1583023500000000000,-0.416,53.236,20.450000000000045,18.75,98.0
1583023560000000000,-0.391,53.238,20.450000000000045,18.75,98.0
1583023620000000000,-1.243,53.231,20.450000000000045,18.75,98.0
1583023680000000000,-0.452,53.234,20.450000000000045,18.75,98.0
1583023740000000000,-0.4,53.239,20.450000000000045,18.75,98.0
1583023800000000000,-0.379,53.239,20.450000000000045,18.650000000000034,98.0
1583023860000000000,-0.415,53.241,20.450000000000045,18.75,98.0
1583023920000000000,-0.417,53.242,20.450000000000045,18.75,98.0
1583023980000000000,-0.375,53.247,20.450000000000045,18.650000000000034,98.0
1583024040000000000,-1.904,53.234,20.450000000000045,18.650000000000034,98.0
1583024100000000000,-0.888,53.239,20.450000000000045,18.55000000000001,98.0
1583024160000000000,-0.426,53.245,20.450000000000045,18.55000000000001,98.0
1583024220000000000,-0.388,53.247,20.350000000000023,18.650000000000034,98.0
1583024280000000000,-0.427,53.245,20.450000000000045,18.650000000000034,98.0
1583024340000000000,-0.384,53.245,20.350000000000023,18.55000000000001,98.0
1583024400000000000,-0.425,53.248,20.350000000000023,18.55000000000001,98.0
1583024460000000000,-0.385,53.249,20.450000000000045,18.55000000000001,98.0
1583024520000000000,-0.44,53.249,20.350000000000023,18.55000000000001,98.0
1583024580000000000,-0.412,53.251,20.25,18.55000000000001,98.0
