time,I,V,T_max,T_min,SOC
1494258120000000000,0.0,0.0,-273.15,-273.15,0.0
1494258180000000000,0.0,0.0,-273.15,-273.15,0.0
1494258240000000000,0.0,0.0,-273.15,-273.15,0.0
1494258300000000000,0.0,0.0,-273.15,-273.15,0.0
1494258360000000000,0.0,0.0,-273.15,-273.15,0.0
1494258420000000000,0.0,0.0,-273.15,-273.15,0.0
1494258480000000000,0.0,0.0,-273.15,-273.15,0.0
1494258540000000000,0.0,0.0,-273.15,-273.15,0.0
1494258600000000000,0.0,0.0,-273.15,-273.15,0.0
1494258660000000000,0.0,0.0,-273.15,-273.15,0.0
1494258720000000000,0.0,0.0,-273.15,-273.15,0.0
1494258780000000000,0.0,0.0,-273.15,-273.15,0.0
1494258840000000000,0.0,0.0,-273.15,-273.15,0.0
1494258900000000000,0.0,0.0,-273.15,-273.15,0.0
1494258960000000000,0.0,0.0,-273.15,-273.15,0.0
1494259020000000000,0.0,0.0,-273.15,-273.15,0.0
1494259080000000000,0.0,0.0,-273.15,-273.15,0.0
1494259140000000000,0.0,0.0,-273.15,-273.15,0.0
1494259200000000000,0.0,0.0,-273.15,-273.15,0.0
1494259260000000000,0.0,0.0,-273.15,-273.15,0.0
1494259320000000000,0.0,0.0,-273.15,-273.15,0.0
1494259380000000000,0.0,0.0,-273.15,-273.15,0.0
1494259440000000000,0.0,0.0,-273.15,-273.15,0.0
1494259500000000000,0.0,0.0,-273.15,-273.15,0.0
1494259560000000000,0.0,0.0,-273.15,-273.15,0.0
1494259620000000000,0.0,0.0,-273.15,-273.15,0.0
1494259680000000000,0.0,0.0,-273.15,-273.15,0.0
1494259740000000000,0.0,0.0,-273.15,-273.15,0.0
1494259800000000000,0.0,0.0,-273.15,-273.15,0.0
1494259980000000000,0.0,0.0,-273.15,-273.15,0.0
1494260040000000000,0.0,0.0,-273.15,-273.15,0.0
1494260280000000000,0.0,0.0,-273.15,-273.15,0.0
1494260340000000000,0.0,0.0,-273.15,-273.15,0.0
1494260400000000000,0.0,0.0,-273.15,-273.15,0.0
1494260460000000000,0.0,0.0,-273.15,-273.15,0.0
1494260520000000000,0.0,0.0,-273.15,-273.15,0.0
1494260580000000000,0.0,0.0,-273.15,-273.15,0.0
1494260640000000000,0.0,0.0,-273.15,-273.15,0.0
1494260700000000000,0.0,0.0,-273.15,-273.15,0.0
1494260760000000000,0.0,0.0,-273.15,-273.15,0.0
1494260820000000000,0.0,0.0,-273.15,-273.15,0.0
1494260880000000000,0.0,0.0,-273.15,-273.15,0.0
1494260940000000000,0.0,0.0,-273.15,-273.15,0.0
1494261000000000000,0.0,0.0,-273.15,-273.15,0.0
1494261060000000000,0.0,0.0,-273.15,-273.15,0.0
1494261120000000000,0.0,0.0,-273.15,-273.15,0.0
1494261180000000000,0.0,0.0,-273.15,-273.15,0.0
1494261240000000000,0.0,0.0,-273.15,-273.15,0.0
1494261300000000000,0.0,0.0,-273.15,-273.15,0.0
1494261360000000000,0.0,0.0,-273.15,-273.15,0.0
1494261420000000000,0.0,0.0,-273.15,-273.15,0.0
1494261480000000000,0.0,0.0,-273.15,-273.15,0.0
1494261540000000000,0.0,0.0,-273.15,-273.15,0.0
1494261600000000000,0.0,0.0,-273.15,-273.15,0.0
1494261660000000000,0.0,0.0,-273.15,-273.15,0.0
1494261720000000000,0.0,0.0,-273.15,-273.15,0.0
1494261780000000000,0.0,0.0,-273.15,-273.15,0.0
1494261840000000000,0.0,0.0,-273.15,-273.15,0.0
1494261900000000000,0.0,0.0,-273.15,-273.15,0.0
1494261960000000000,0.0,0.0,-273.15,-273.15,0.0
1494262020000000000,0.0,0.0,-273.15,-273.15,0.0
1494262080000000000,0.0,0.0,-273.15,-273.15,0.0
1494262140000000000,0.0,0.0,-273.15,-273.15,0.0
1494262200000000000,0.0,0.0,-273.15,-273.15,0.0
1494262260000000000,0.0,0.0,-273.15,-273.15,0.0
1494262320000000000,0.0,0.0,-273.15,-273.15,0.0
1494262380000000000,0.0,0.0,-273.15,-273.15,0.0
1494262440000000000,0.0,0.0,-273.15,-273.15,0.0
1494262500000000000,0.0,0.0,-273.15,-273.15,0.0
1494262560000000000,0.0,0.0,-273.15,-273.15,0.0
1494262620000000000,0.0,0.0,-273.15,-273.15,0.0
1494262680000000000,0.0,0.0,-273.15,-273.15,0.0
1494262740000000000,0.0,0.0,-273.15,-273.15,0.0
1494262800000000000,0.0,0.0,-273.15,-273.15,0.0
1494262860000000000,0.0,0.0,-273.15,-273.15,0.0
1494262920000000000,0.0,0.0,-273.15,-273.15,0.0
1494262980000000000,0.0,0.0,-273.15,-273.15,0.0
1494263040000000000,0.0,0.0,-273.15,-273.15,0.0
1494263100000000000,0.0,0.0,-273.15,-273.15,0.0
1494263160000000000,0.0,0.0,-273.15,-273.15,0.0
1494263220000000000,0.0,0.0,-273.15,-273.15,0.0
1494263280000000000,0.0,0.0,-273.15,-273.15,0.0
1494263340000000000,0.0,0.0,-273.15,-273.15,0.0
1494263400000000000,0.0,0.0,-273.15,-273.15,0.0
1494263460000000000,0.0,0.0,-273.15,-273.15,0.0
1494263520000000000,0.0,0.0,-273.15,-273.15,0.0
1494263580000000000,0.0,0.0,-273.15,-273.15,0.0
1494263760000000000,0.0,0.0,-273.15,-273.15,0.0
1494263820000000000,0.0,0.0,-273.15,-273.15,0.0
