time,I,V,T_max,T_min,SOC
1519862400000000000,-0.441,53.167,8.25,6.850000000000023,98.0
1519862460000000000,-0.399,53.169,8.150000000000034,6.850000000000023,98.0
1519862520000000000,-0.416,53.168,8.25,6.850000000000023,98.0
1519862580000000000,-0.438,53.167,8.150000000000034,6.850000000000023,98.0
1519862640000000000,-0.413,53.166,8.150000000000034,6.850000000000023,98.0
1519862700000000000,-0.442,53.169,8.150000000000034,6.850000000000023,98.0
1519862760000000000,-0.449,53.169,8.150000000000034,6.850000000000023,98.0
1519862820000000000,-0.419,53.169,8.150000000000034,6.850000000000023,98.0
1519862880000000000,-0.405,53.167,8.150000000000034,6.850000000000023,98.0
1519862940000000000,-0.436,53.166,8.25,6.75,98.0
1519863000000000000,-0.435,53.166,8.150000000000034,6.850000000000023,98.0
1519863060000000000,-0.408,53.166,8.150000000000034,6.850000000000023,98.0
1519863120000000000,-0.431,53.166,8.25,6.850000000000023,98.0
1519863180000000000,-0.427,53.167,8.25,6.850000000000023,98.0
1519863240000000000,-0.417,53.166,8.25,6.850000000000023,98.0
1519863300000000000,-0.43,53.167,8.25,6.850000000000023,98.0
1519863360000000000,-0.45,53.167,8.350000000000023,6.850000000000023,98.0
1519863420000000000,-0.408,53.164,8.25,6.850000000000023,98.0
1519863480000000000,-0.419,53.164,8.350000000000023,6.850000000000023,98.0
1519863540000000000,-0.438,53.165,8.25,6.9500000000000455,98.0
1519863600000000000,-0.427,53.166,8.25,6.850000000000023,98.0
1519863660000000000,-0.404,53.164,8.25,6.850000000000023,98.0
1519863720000000000,-0.432,53.167,8.25,6.850000000000023,98.0
1519863780000000000,-0.424,53.164,8.25,6.850000000000023,98.0
1519863840000000000,-0.4,53.165,8.25,6.850000000000023,98.0
1519863900000000000,-0.432,53.165,8.350000000000023,6.850000000000023,98.0
1519864260000000000,10.649,53.35,8.350000000000023,6.9500000000000455,98.0
1519864320000000000,11.833,53.448,8.25,6.850000000000023,98.0
1519864380000000000,11.733,53.521,8.350000000000023,6.850000000000023,98.0
1519864440000000000,11.831,53.581,8.350000000000023,6.9500000000000455,98.0
1519864500000000000,11.588,53.635,8.350000000000023,6.850000000000023,98.0
1519864560000000000,10.293,53.674,8.350000000000023,6.9500000000000455,98.0
1519864620000000000,10.083,53.72,8.350000000000023,6.9500000000000455,98.0
1519864680000000000,11.759,53.795,8.25,6.9500000000000455,98.0
1519864740000000000,11.856,53.856,8.450000000000045,6.850000000000023,98.0
1519864800000000000,12.229,53.912,8.450000000000045,6.9500000000000455,98.0
1519864860000000000,12.052,53.963,8.450000000000045,6.850000000000023,98.0
1519864920000000000,11.419,54.014,8.450000000000045,6.9500000000000455,99.0
1519864980000000000,11.215,54.056,8.350000000000023,6.9500000000000455,99.0
1519865040000000000,11.895,54.106,8.350000000000023,7.050000000000011,99.0
1519865100000000000,11.538,54.147,8.450000000000045,6.9500000000000455,99.0
1519865160000000000,11.214,54.187,8.350000000000023,7.050000000000011,99.0
1519865220000000000,11.5,54.239,8.450000000000045,7.050000000000011,99.0
1519865280000000000,11.327,54.274,8.450000000000045,7.050000000000011,99.0
1519865340000000000,10.804,54.325,8.450000000000045,7.050000000000011,99.0
1519865400000000000,11.921,54.414,8.450000000000045,7.050000000000011,99.0
1519865460000000000,11.648,54.509,8.450000000000045,7.050000000000011,99.0
1519865520000000000,10.408,54.612,8.450000000000045,7.050000000000011,99.0
1519865580000000000,11.808,54.768,8.450000000000045,7.050000000000011,99.0
1519865640000000000,11.204,54.94,8.450000000000045,7.050000000000011,99.0
1519865700000000000,10.261,55.133,8.550000000000011,7.050000000000011,99.0
1519865760000000000,10.261,55.375,8.450000000000045,7.050000000000011,100.0
1519865820000000000,9.436,55.566,8.450000000000045,7.050000000000011,100.0
1519865880000000000,8.981,55.794,8.550000000000011,7.050000000000011,100.0
1519865940000000000,-0.445,55.485,8.450000000000045,7.050000000000011,100.0
1519866000000000000,-0.394,55.328,8.450000000000045,7.050000000000011,100.0
1519866060000000000,-0.425,55.216,8.550000000000011,7.050000000000011,100.0
1519866120000000000,-0.423,55.132,8.450000000000045,7.050000000000011,100.0
1519866180000000000,-0.396,55.067,8.550000000000011,7.050000000000011,100.0
1519866240000000000,-0.41,55.01,8.450000000000045,7.050000000000011,100.0
1519866300000000000,-0.428,54.957,8.550000000000011,7.050000000000011,100.0
1519866360000000000,-0.411,54.913,8.450000000000045,7.050000000000011,100.0
1519866420000000000,-0.409,54.873,8.550000000000011,7.050000000000011,100.0
1519866480000000000,-0.425,54.834,8.550000000000011,7.050000000000011,100.0
1519866540000000000,-0.417,54.8,8.450000000000045,7.050000000000011,100.0
1519866600000000000,-0.401,54.769,8.450000000000045,7.050000000000011,100.0
1519866660000000000,-0.421,54.74,8.550000000000011,7.050000000000011,100.0
1519866720000000000,-0.417,54.713,8.550000000000011,7.050000000000011,100.0
1519866780000000000,-0.388,54.689,8.550000000000011,7.150000000000034,100.0
1519866840000000000,-0.412,54.663,8.550000000000011,7.050000000000011,100.0
1519866900000000000,-0.43,54.639,8.550000000000011,7.050000000000011,100.0
1519866960000000000,-0.399,54.619,8.550000000000011,7.050000000000011,100.0
1519867020000000000,-0.411,54.599,8.550000000000011,7.050000000000011,100.0
1519867080000000000,-0.432,54.577,8.550000000000011,7.050000000000011,100.0
1519867140000000000,-0.414,54.558,8.550000000000011,7.150000000000034,100.0
1519867200000000000,-0.407,54.54,8.550000000000011,7.150000000000034,100.0
1519867260000000000,-0.444,54.522,8.650000000000034,7.050000000000011,100.0
1519867320000000000,-0.408,54.504,8.550000000000011,7.150000000000034,100.0
1519867380000000000,-0.395,54.493,8.550000000000011,7.150000000000034,100.0
1519867440000000000,-0.423,54.473,8.550000000000011,7.050000000000011,100.0
1519867500000000000,-0.411,54.46,8.550000000000011,7.150000000000034,100.0
1519867560000000000,-0.393,54.445,8.550000000000011,7.050000000000011,100.0
1519867620000000000,-0.414,54.43,8.650000000000034,7.050000000000011,100.0
1519867680000000000,-0.433,54.416,8.550000000000011,7.150000000000034,100.0
1519867740000000000,-0.395,54.405,8.650000000000034,7.050000000000011,100.0
1519867800000000000,-0.412,54.396,8.650000000000034,7.150000000000034,100.0
1519867860000000000,-0.427,54.378,8.650000000000034,7.150000000000034,100.0
1519867920000000000,-0.401,54.366,8.550000000000011,7.150000000000034,100.0
1519867980000000000,-0.417,54.353,8.650000000000034,7.25,100.0
1519868040000000000,-0.434,54.341,8.550000000000011,7.150000000000034,100.0
1519868100000000000,-0.409,54.33,8.650000000000034,7.150000000000034,100.0
1519868160000000000,-0.4,54.318,8.550000000000011,7.050000000000011,100.0
1519868220000000000,-0.422,54.306,8.75,7.050000000000011,100.0
1519868280000000000,-0.421,54.295,8.650000000000034,7.150000000000034,100.0
