time,I,V,T_max,T_min,SOC
1514764800000000000,-0.411,51.576,13.350000000000023,12.25,24.0
1514764860000000000,-0.408,51.575,13.25,12.25,24.0
1514764920000000000,-0.434,51.574,13.350000000000023,12.150000000000034,24.0
1514764980000000000,-0.414,51.573,13.150000000000034,12.150000000000034,24.0
1514765040000000000,-0.413,51.571,13.25,12.150000000000034,24.0
1514765100000000000,-0.422,51.571,13.25,12.25,24.0
1514765160000000000,-0.421,51.571,13.25,12.150000000000034,24.0
1514765220000000000,-0.4,51.571,13.350000000000023,12.25,24.0
1514765280000000000,-0.423,51.568,13.25,12.25,24.0
1514765340000000000,-0.432,51.567,13.25,12.25,24.0
1514765400000000000,-0.408,51.569,13.350000000000023,12.25,24.0
1514765460000000000,-0.42,51.568,13.350000000000023,12.25,24.0
1514765520000000000,-0.428,51.569,13.25,12.25,24.0
1514765580000000000,-0.408,51.566,13.350000000000023,12.150000000000034,24.0
1514765640000000000,-0.401,51.568,13.350000000000023,12.25,24.0
1514765700000000000,-0.435,51.567,13.25,12.25,24.0
1514765760000000000,-0.416,51.566,13.350000000000023,12.25,24.0
1514765820000000000,-0.402,51.561,13.25,12.25,24.0
1514765880000000000,-0.419,51.562,13.350000000000023,12.25,24.0
1514765940000000000,-0.426,51.564,13.350000000000023,12.150000000000034,24.0
1514766000000000000,-0.392,51.563,13.350000000000023,12.150000000000034,24.0
1514766060000000000,-0.422,51.561,13.350000000000023,12.150000000000034,24.0
1514766120000000000,-0.424,51.562,13.350000000000023,12.150000000000034,24.0
1514766180000000000,-0.409,51.561,13.25,12.25,24.0
1514766240000000000,-0.42,51.562,13.350000000000023,12.150000000000034,24.0
1514766300000000000,-0.444,51.56,13.350000000000023,12.25,24.0
1514766360000000000,-0.422,51.558,13.350000000000023,12.25,24.0
1514766420000000000,-0.4,51.562,13.350000000000023,12.25,24.0
1514766480000000000,-0.439,51.558,13.350000000000023,12.25,24.0
1514766540000000000,-0.432,51.558,13.350000000000023,12.25,24.0
1514766600000000000,-0.412,51.557,13.350000000000023,12.25,24.0
1514766660000000000,-0.43,51.556,13.25,12.25,24.0
1514766720000000000,-0.437,51.554,13.350000000000023,12.25,24.0
1514766780000000000,-0.406,51.555,13.350000000000023,12.25,24.0
1514766840000000000,-0.422,51.554,13.25,12.25,24.0
1514766900000000000,-0.44,51.552,13.350000000000023,12.25,24.0
1514766960000000000,-0.407,51.554,13.350000000000023,12.150000000000034,24.0
1514767020000000000,-0.416,51.553,13.350000000000023,12.25,24.0
1514767080000000000,-0.436,51.553,13.350000000000023,12.25,24.0
1514767140000000000,-0.422,51.552,13.350000000000023,12.350000000000023,24.0
1514767200000000000,-0.417,51.551,13.350000000000023,12.25,24.0
1514767260000000000,-0.434,51.552,13.350000000000023,12.350000000000023,24.0
1514767320000000000,-0.407,51.55,13.050000000000011,12.25,24.0
1514767380000000000,-0.398,51.551,13.350000000000023,12.25,24.0
1514767440000000000,-0.421,51.548,13.350000000000023,12.25,24.0
1514767500000000000,-0.432,51.548,13.350000000000023,12.150000000000034,24.0
1514767560000000000,-0.4,51.546,13.25,12.25,24.0
1514767620000000000,-0.423,51.547,13.350000000000023,12.25,24.0
1514767680000000000,-0.434,51.546,13.350000000000023,12.25,24.0
1514767740000000000,-0.412,51.546,13.350000000000023,12.25,24.0
1514767800000000000,-0.428,51.546,13.350000000000023,12.25,24.0
1514767860000000000,-0.431,51.545,13.350000000000023,12.25,24.0
1514767920000000000,-0.422,51.546,13.350000000000023,12.25,24.0
1514767980000000000,-0.406,51.544,13.350000000000023,12.25,24.0
1514768040000000000,-0.432,51.543,13.350000000000023,12.25,24.0
1514768100000000000,-0.423,51.542,13.350000000000023,12.25,24.0
1514768160000000000,-0.406,51.543,13.350000000000023,12.350000000000023,24.0
1514768220000000000,-0.441,51.542,13.350000000000023,12.25,24.0
1514768280000000000,-0.435,51.542,13.350000000000023,12.150000000000034,24.0
1514768340000000000,-0.398,51.538,13.350000000000023,12.25,24.0
1514768400000000000,-0.426,51.54,13.350000000000023,12.150000000000034,24.0
1514768460000000000,-0.442,51.54,13.450000000000045,12.350000000000023,24.0
1514768520000000000,-0.413,51.54,13.350000000000023,12.25,24.0
1514768580000000000,-0.41,51.54,13.350000000000023,12.350000000000023,24.0
1514768640000000000,-0.45,51.54,13.350000000000023,12.350000000000023,24.0
1514768700000000000,-0.423,51.537,13.350000000000023,12.350000000000023,24.0
1514768760000000000,-0.403,51.537,13.350000000000023,12.25,24.0
1514768820000000000,-0.436,51.535,13.350000000000023,12.25,24.0
1514768880000000000,-0.411,51.535,13.350000000000023,12.25,24.0
1514768940000000000,-0.406,51.534,13.350000000000023,12.25,24.0
1514769000000000000,-0.436,51.535,13.350000000000023,12.350000000000023,24.0
1514769060000000000,-0.427,51.535,13.350000000000023,12.25,24.0
1514769120000000000,-0.404,51.531,13.350000000000023,12.25,24.0
1514769180000000000,-0.422,51.532,13.350000000000023,12.25,24.0
1514769240000000000,-0.438,51.532,13.450000000000045,12.350000000000023,24.0
1514769300000000000,-0.417,51.532,13.350000000000023,12.25,24.0
1514769360000000000,-0.419,51.532,13.350000000000023,12.150000000000034,24.0
1514769420000000000,-0.44,51.531,13.350000000000023,12.25,24.0
1514769480000000000,-0.424,51.53,13.350000000000023,12.25,24.0
1514769540000000000,-0.408,51.531,13.350000000000023,12.25,24.0
1514769600000000000,-0.43,51.53,13.450000000000045,12.350000000000023,24.0
1514769660000000000,-0.422,51.527,13.350000000000023,12.25,24.0
1514769720000000000,-0.397,51.529,13.350000000000023,12.25,24.0
1514769780000000000,-0.419,51.528,13.350000000000023,12.25,24.0
1514769840000000000,-0.427,51.528,13.350000000000023,12.25,24.0
1514769900000000000,-0.415,51.527,13.350000000000023,12.25,24.0
1514769960000000000,-0.436,51.525,13.350000000000023,12.25,24.0
1514770020000000000,-0.443,51.528,13.350000000000023,12.150000000000034,24.0
1514770080000000000,-0.411,51.525,13.350000000000023,12.350000000000023,24.0
1514770140000000000,-0.426,51.524,13.350000000000023,12.25,24.0
1514770200000000000,-0.435,51.525,13.350000000000023,12.350000000000023,24.0
1514770260000000000,-0.423,51.523,13.450000000000045,12.150000000000034,24.0
1514770320000000000,-0.402,51.521,13.350000000000023,12.25,24.0
1514770380000000000,-0.425,51.521,13.350000000000023,12.25,24.0
1514770440000000000,-0.419,51.519,13.350000000000023,12.25,24.0
1514770500000000000,-0.393,51.52,13.350000000000023,12.350000000000023,24.0
1514770560000000000,-0.419,51.517,13.450000000000045,12.25,24.0
1514770620000000000,-0.436,51.519,13.350000000000023,12.25,24.0
1514770680000000000,-0.395,51.52,13.350000000000023,12.350000000000023,24.0
1514770740000000000,-0.415,51.52,13.350000000000023,12.25,24.0
1514770800000000000,-0.428,51.519,13.350000000000023,12.25,24.0
1514770860000000000,-0.416,51.516,13.350000000000023,12.25,24.0
1514770920000000000,-0.407,51.517,13.450000000000045,12.25,24.0
1514770980000000000,-0.442,51.516,13.350000000000023,12.25,24.0
1514771040000000000,-0.407,51.514,13.450000000000045,12.25,24.0
1514771100000000000,-0.411,51.514,13.450000000000045,12.25,24.0
1514771160000000000,-0.436,51.514,13.450000000000045,12.25,24.0
1514771220000000000,-0.427,51.513,13.450000000000045,12.350000000000023,24.0
1514771280000000000,-0.402,51.514,13.350000000000023,12.25,24.0
1514771340000000000,-0.439,51.514,13.350000000000023,12.25,24.0
1514771400000000000,-0.427,51.512,13.450000000000045,12.25,24.0
1514771460000000000,-0.408,51.513,13.450000000000045,12.25,24.0
1514771520000000000,-0.428,51.512,13.450000000000045,12.350000000000023,24.0
1514771580000000000,-0.441,51.511,13.350000000000023,12.150000000000034,24.0
1514771640000000000,-0.406,51.51,13.350000000000023,12.25,24.0
1514771700000000000,-0.416,51.51,13.450000000000045,12.25,24.0
1514771760000000000,-0.434,51.509,13.350000000000023,12.25,24.0
1514771820000000000,-0.412,51.509,13.350000000000023,12.25,24.0
1514771880000000000,-0.416,51.51,13.350000000000023,12.350000000000023,24.0
1514771940000000000,-0.435,51.508,13.350000000000023,12.350000000000023,24.0
1514772000000000000,-0.427,51.507,13.450000000000045,12.350000000000023,24.0
1514772060000000000,-0.395,51.506,13.450000000000045,12.350000000000023,24.0
1514772120000000000,-0.429,51.506,13.350000000000023,12.350000000000023,24.0
1514772180000000000,-0.436,51.506,13.350000000000023,12.25,24.0
1514772240000000000,-0.395,51.504,13.350000000000023,12.350000000000023,24.0
1514772300000000000,-0.414,51.505,13.450000000000045,12.25,24.0
1514772360000000000,-0.433,51.504,13.450000000000045,12.150000000000034,24.0
1514772420000000000,-0.424,51.504,13.450000000000045,12.25,24.0
1514772480000000000,-0.424,51.505,13.350000000000023,12.350000000000023,24.0
1514772540000000000,-0.435,51.5,13.350000000000023,12.25,24.0
1514772600000000000,-0.425,51.502,13.450000000000045,12.25,24.0
1514772660000000000,-0.412,51.501,13.450000000000045,12.25,24.0
1514772720000000000,-0.438,51.502,13.350000000000023,12.350000000000023,24.0
1514772780000000000,-0.428,51.501,13.450000000000045,12.25,24.0
1514772840000000000,-0.407,51.501,13.350000000000023,12.25,24.0
1514772900000000000,-0.44,51.5,13.350000000000023,12.25,24.0
1514772960000000000,-0.433,51.497,13.350000000000023,12.25,24.0
1514773020000000000,-0.401,51.497,13.350000000000023,12.350000000000023,24.0
1514773080000000000,-0.428,51.499,13.350000000000023,12.350000000000023,24.0
1514773140000000000,-0.443,51.497,13.450000000000045,12.25,24.0
1514773200000000000,-0.416,51.497,13.350000000000023,12.25,24.0
1514773260000000000,-0.426,51.495,13.350000000000023,12.25,24.0
1514773320000000000,-0.45,51.494,13.350000000000023,12.25,24.0
1514773620000000000,-0.429,51.492,13.350000000000023,12.350000000000023,24.0
1514773680000000000,-0.407,51.494,13.350000000000023,12.350000000000023,24.0
1514773740000000000,-0.447,51.492,13.450000000000045,12.25,24.0
1514773800000000000,-0.428,51.491,13.450000000000045,12.25,24.0
1514773860000000000,-0.402,51.491,13.350000000000023,12.25,24.0
1514773920000000000,-0.427,51.492,13.450000000000045,12.350000000000023,24.0
1514773980000000000,-0.424,51.49,13.450000000000045,12.350000000000023,24.0
1514774040000000000,-0.413,51.488,13.450000000000045,12.350000000000023,24.0
1514774100000000000,-0.424,51.489,13.450000000000045,12.25,24.0
1514774160000000000,-0.434,51.488,13.350000000000023,12.25,24.0
1514774220000000000,-0.414,51.487,13.350000000000023,12.25,24.0
1514774280000000000,-0.402,51.489,13.450000000000045,12.25,24.0
1514774340000000000,-0.433,51.483,13.450000000000045,12.350000000000023,24.0
1514774400000000000,-0.428,51.488,13.350000000000023,12.25,24.0
1514774460000000000,-0.402,51.487,13.450000000000045,12.25,24.0
1514774520000000000,-0.436,51.483,13.450000000000045,12.25,24.0
1514774580000000000,-0.444,51.483,13.450000000000045,12.350000000000023,24.0
1514774640000000000,-0.401,51.483,13.450000000000045,12.350000000000023,24.0
1514774700000000000,-0.423,51.483,13.450000000000045,12.25,24.0
1514774760000000000,-0.443,51.48,13.350000000000023,12.350000000000023,24.0
1514774820000000000,-0.421,51.482,13.450000000000045,12.350000000000023,24.0
1514774880000000000,-0.421,51.482,13.350000000000023,12.350000000000023,24.0
1514774940000000000,-0.439,51.482,13.450000000000045,12.25,24.0
1514775000000000000,-0.423,51.484,13.450000000000045,12.25,24.0
1514775060000000000,-0.412,51.481,13.450000000000045,12.25,24.0
1514775120000000000,-0.437,51.478,13.450000000000045,12.25,24.0
1514775180000000000,-0.422,51.48,13.450000000000045,12.350000000000023,24.0
1514775240000000000,-0.403,51.48,13.450000000000045,12.350000000000023,24.0
1514775300000000000,-0.432,51.478,13.450000000000045,12.25,24.0
1514775360000000000,-0.414,51.477,13.350000000000023,12.350000000000023,24.0
1514775420000000000,-0.409,51.476,13.450000000000045,12.350000000000023,24.0
1514775480000000000,-0.428,51.476,13.350000000000023,12.350000000000023,24.0
1514775540000000000,-0.448,51.476,13.550000000000011,12.25,24.0
1514775600000000000,-0.405,51.475,13.450000000000045,12.350000000000023,24.0
1514775660000000000,-0.43,51.473,13.450000000000045,12.350000000000023,24.0
1514775720000000000,-0.44,51.475,13.350000000000023,12.350000000000023,24.0
1514775780000000000,-0.423,51.474,13.450000000000045,12.25,24.0
1514775840000000000,-0.414,51.472,13.350000000000023,12.25,24.0
1514775900000000000,-0.437,51.475,13.450000000000045,12.25,23.0
1514775960000000000,-0.433,51.474,13.450000000000045,12.25,23.0
1514776020000000000,-0.403,51.472,13.450000000000045,12.350000000000023,23.0
1514776080000000000,-0.431,51.47,13.450000000000045,12.25,23.0
1514776140000000000,-0.429,51.469,13.350000000000023,12.25,23.0
1514776200000000000,-0.4,51.471,13.450000000000045,12.350000000000023,23.0
1514776260000000000,-0.439,51.47,13.450000000000045,12.25,23.0
1514776320000000000,-0.443,51.47,13.450000000000045,12.350000000000023,23.0
1514776380000000000,-0.409,51.471,13.350000000000023,12.25,23.0
1514776440000000000,-0.421,51.467,13.450000000000045,12.350000000000023,23.0
1514776500000000000,-0.44,51.468,13.450000000000045,12.25,23.0
1514776560000000000,-0.428,51.465,13.450000000000045,12.25,23.0
1514776620000000000,-0.413,51.467,13.350000000000023,12.25,23.0
1514776680000000000,-0.441,51.464,13.450000000000045,12.150000000000034,23.0
1514776740000000000,-0.428,51.466,13.350000000000023,12.350000000000023,23.0
1514776800000000000,-0.403,51.466,13.450000000000045,12.25,23.0
1514776860000000000,-0.444,51.463,13.450000000000045,12.25,23.0
1514776920000000000,-0.428,51.463,13.450000000000045,12.350000000000023,23.0
1514776980000000000,-0.39,51.464,13.450000000000045,12.25,24.0
1514777040000000000,-0.42,51.462,13.450000000000045,12.25,23.0
1514777100000000000,-0.44,51.463,13.350000000000023,12.350000000000023,23.0
1514777160000000000,-0.419,51.462,13.350000000000023,12.25,23.0
1514777220000000000,-0.419,51.465,13.350000000000023,12.25,23.0
1514777280000000000,-0.44,51.462,13.450000000000045,12.350000000000023,23.0
1514777340000000000,-0.414,51.461,13.450000000000045,12.25,23.0
1514777400000000000,-0.415,51.46,13.350000000000023,12.350000000000023,23.0
1514777460000000000,-0.443,51.458,13.450000000000045,12.350000000000023,23.0
1514777520000000000,-0.428,51.46,13.450000000000045,12.350000000000023,23.0
1514777580000000000,-0.406,51.459,13.350000000000023,12.350000000000023,23.0
1514777640000000000,-0.437,51.458,13.350000000000023,12.350000000000023,23.0
1514777700000000000,-0.435,51.456,13.450000000000045,12.25,23.0
1514777760000000000,-0.418,51.456,13.350000000000023,12.25,23.0
1514777820000000000,-0.426,51.454,13.350000000000023,12.25,23.0
1514777880000000000,-0.442,51.455,13.450000000000045,12.350000000000023,23.0
1514777940000000000,-0.417,51.456,13.450000000000045,12.25,23.0
1514778000000000000,-0.423,51.455,13.450000000000045,12.25,23.0
1514778060000000000,-0.45,51.456,13.450000000000045,12.350000000000023,23.0
1514778120000000000,-0.419,51.453,13.450000000000045,12.25,23.0
1514778180000000000,-0.412,51.454,13.350000000000023,12.350000000000023,23.0
1514778240000000000,-0.444,51.453,13.350000000000023,12.150000000000034,23.0
1514778300000000000,-0.437,51.453,13.350000000000023,12.350000000000023,23.0
1514778360000000000,-0.414,51.452,13.450000000000045,12.25,23.0
1514778420000000000,-0.444,51.45,13.350000000000023,12.25,23.0
1514778480000000000,-0.431,51.449,13.350000000000023,12.350000000000023,23.0
1514778540000000000,-0.41,51.45,13.450000000000045,12.350000000000023,23.0
1514778600000000000,-0.43,51.449,13.350000000000023,12.25,23.0
1514778660000000000,-0.445,51.447,13.350000000000023,12.350000000000023,23.0
1514778720000000000,-0.414,51.451,13.350000000000023,12.350000000000023,23.0
1514778780000000000,-0.429,51.447,13.450000000000045,12.25,23.0
1514778840000000000,-0.436,51.445,13.450000000000045,12.25,23.0
1514778900000000000,-0.418,51.447,13.450000000000045,12.25,23.0
1514778960000000000,-0.425,51.445,13.350000000000023,12.350000000000023,23.0
1514779020000000000,-0.435,51.447,13.350000000000023,12.25,23.0
1514779080000000000,-0.43,51.446,13.350000000000023,12.350000000000023,23.0
1514779140000000000,-0.413,51.446,13.450000000000045,12.350000000000023,23.0
1514779200000000000,-0.44,51.444,13.450000000000045,12.350000000000023,23.0
1514779260000000000,-0.436,51.442,13.450000000000045,12.350000000000023,23.0
