time,I,V,T_max,T_min,SOC
1541030400000000000,-0.399,54.087,25.25,22.850000000000023,100.0
1541030460000000000,-0.398,54.078,25.25,22.850000000000023,100.0
1541030520000000000,-0.368,54.075,25.150000000000034,22.850000000000023,100.0
1541030580000000000,-0.381,54.067,25.150000000000034,22.850000000000023,100.0
1541030640000000000,-0.408,54.064,25.25,22.850000000000023,100.0
1541030700000000000,-0.382,54.059,25.05000000000001,22.850000000000023,100.0
1541030760000000000,-0.393,54.051,25.05000000000001,22.950000000000045,100.0
1541030820000000000,-0.415,54.046,25.05000000000001,22.850000000000023,100.0
1541030880000000000,-0.407,54.041,25.25,22.850000000000023,100.0
1541030940000000000,-1.76,54.022,25.150000000000034,22.850000000000023,100.0
1541031000000000000,-0.446,54.024,25.05000000000001,22.850000000000023,100.0
1541031060000000000,-0.393,54.019,25.05000000000001,22.850000000000023,100.0
1541031120000000000,-0.366,54.013,25.25,22.850000000000023,100.0
1541031180000000000,-0.403,54.009,25.150000000000034,22.850000000000023,100.0
1541031240000000000,-0.396,54.003,25.150000000000034,22.850000000000023,100.0
1541031300000000000,-0.371,53.999,25.150000000000034,22.850000000000023,100.0
1541031360000000000,-0.392,53.996,25.150000000000034,22.850000000000023,100.0
1541031420000000000,-0.408,53.99,25.150000000000034,22.75,100.0
1541031480000000000,-0.371,53.987,25.05000000000001,22.850000000000023,100.0
1541031540000000000,-0.389,53.981,25.05000000000001,22.850000000000023,100.0
1541031600000000000,-0.402,53.976,25.150000000000034,22.850000000000023,100.0
1541031660000000000,-0.419,53.964,25.05000000000001,22.850000000000023,100.0
1541031720000000000,-0.373,53.958,25.150000000000034,22.850000000000023,100.0
1541031780000000000,-0.406,53.959,25.05000000000001,22.75,100.0
1541031840000000000,-0.392,53.952,25.150000000000034,22.75,100.0
1541031900000000000,-0.368,53.948,25.05000000000001,22.850000000000023,100.0
1541031960000000000,-0.398,53.943,25.150000000000034,22.75,100.0
1541032020000000000,-0.391,53.939,25.05000000000001,22.75,100.0
1541032080000000000,-0.36,53.933,25.05000000000001,22.850000000000023,100.0
1541032140000000000,-0.37,53.931,25.05000000000001,22.75,100.0
1541032200000000000,-0.41,53.925,25.05000000000001,22.75,100.0
1541032260000000000,-0.373,53.921,24.950000000000045,22.75,100.0
1541032320000000000,-0.385,53.916,25.05000000000001,22.75,100.0
