time,I,V,T_max,T_min,SOC
1567296000000000000,-0.415,54.208,32.55000000000001,30.450000000000045,100.0
1567296060000000000,-0.384,54.204,32.450000000000045,30.450000000000045,100.0
1567296120000000000,-0.387,54.198,32.450000000000045,30.450000000000045,100.0
1567296180000000000,-0.408,54.194,32.55000000000001,30.450000000000045,100.0
1567296240000000000,-0.392,54.191,32.55000000000001,30.450000000000045,100.0
1567296300000000000,-0.377,54.183,32.450000000000045,30.450000000000045,100.0
1567296360000000000,-0.426,54.174,32.450000000000045,30.450000000000045,100.0
1567296420000000000,-0.411,54.171,32.55000000000001,30.350000000000023,100.0
1567296480000000000,-0.377,54.17,32.450000000000045,30.450000000000045,100.0
1567296540000000000,-0.389,54.16,32.55000000000001,30.450000000000045,100.0
1567296600000000000,-0.42,54.155,32.55000000000001,30.350000000000023,100.0
1567296660000000000,-0.378,54.149,32.450000000000045,30.350000000000023,100.0
1567296720000000000,-0.381,54.141,32.450000000000045,30.350000000000023,100.0
1567296780000000000,-0.407,54.137,32.55000000000001,30.350000000000023,100.0
1567296840000000000,-0.38,54.136,32.55000000000001,30.350000000000023,100.0
1567296900000000000,-0.387,54.129,32.450000000000045,30.350000000000023,100.0
1567296960000000000,-0.422,54.125,32.55000000000001,30.450000000000045,100.0
1567297020000000000,-0.402,54.12,32.55000000000001,30.350000000000023,100.0
1567297080000000000,-0.377,54.112,32.35000000000002,30.450000000000045,100.0
1567297140000000000,-0.411,54.107,32.450000000000045,30.450000000000045,100.0
1567297200000000000,-0.406,54.102,32.35000000000002,30.350000000000023,100.0
1567297260000000000,-0.383,54.099,32.35000000000002,30.350000000000023,100.0
1567297320000000000,-0.39,54.093,32.35000000000002,30.450000000000045,100.0
1567297380000000000,-0.407,54.086,32.35000000000002,30.350000000000023,100.0
1567297440000000000,-0.388,54.08,32.35000000000002,30.350000000000023,100.0
1567297500000000000,-0.391,54.077,32.450000000000045,30.350000000000023,100.0
1567297560000000000,-0.418,54.071,32.450000000000045,30.350000000000023,100.0
1567297620000000000,-0.389,54.066,32.35000000000002,30.350000000000023,100.0
1567297680000000000,-0.383,54.062,32.450000000000045,30.350000000000023,100.0
1567297740000000000,-0.42,54.058,32.35000000000002,30.350000000000023,100.0
1567297800000000000,-0.389,54.055,32.35000000000002,30.350000000000023,100.0
1567297860000000000,-0.378,54.049,32.35000000000002,30.350000000000023,100.0
1567297920000000000,-0.412,54.043,32.35000000000002,30.350000000000023,100.0
