time,I,V,T_max,T_min,SOC
1530403200000000000,-0.407,54.293,32.25,30.25,100.0
1530403260000000000,-0.39,54.288,32.35000000000002,30.150000000000034,100.0
1530403320000000000,-0.369,54.282,32.35000000000002,30.05000000000001,100.0
1530403380000000000,-0.407,54.275,32.35000000000002,30.150000000000034,100.0
1530403440000000000,-0.404,54.269,32.35000000000002,30.150000000000034,100.0
1530403500000000000,-0.367,54.265,32.35000000000002,30.05000000000001,100.0
1530403560000000000,-0.383,54.257,32.35000000000002,30.150000000000034,100.0
1530403620000000000,-0.412,54.251,32.25,30.05000000000001,100.0
1530403680000000000,-0.371,54.245,32.35000000000002,30.150000000000034,100.0
1530403740000000000,-0.377,54.239,32.25,30.05000000000001,100.0
1530403800000000000,-0.403,54.228,32.35000000000002,30.150000000000034,100.0
1530403860000000000,-0.387,54.227,32.35000000000002,30.05000000000001,100.0
1530403920000000000,-0.368,54.221,32.25,30.25,100.0
1530403980000000000,-0.415,54.217,32.25,30.150000000000034,100.0
1530404040000000000,-0.397,54.21,32.35000000000002,30.05000000000001,100.0
1530404100000000000,-0.366,54.204,32.35000000000002,30.05000000000001,100.0
1530404160000000000,-0.4,54.198,32.150000000000034,30.150000000000034,100.0
1530404220000000000,-0.404,54.191,32.35000000000002,30.05000000000001,100.0
1530404280000000000,-0.374,54.187,32.25,30.150000000000034,100.0
1530404340000000000,-0.388,54.182,32.25,30.05000000000001,100.0
1530404400000000000,-0.411,54.175,32.35000000000002,30.25,100.0
1530404460000000000,-0.378,54.171,32.35000000000002,30.05000000000001,100.0
1530404520000000000,-0.391,54.164,32.25,30.150000000000034,100.0
1530404580000000000,-0.411,54.158,32.150000000000034,30.05000000000001,100.0
1530404640000000000,-0.385,54.154,32.25,30.150000000000034,100.0
1530404700000000000,-0.363,54.148,32.25,30.05000000000001,100.0
1530404760000000000,-0.403,54.145,32.35000000000002,30.05000000000001,100.0
1530404820000000000,-0.392,54.138,32.25,30.05000000000001,100.0
1530404880000000000,-0.368,54.134,32.150000000000034,30.05000000000001,100.0
1530404940000000000,-0.395,54.129,32.25,30.05000000000001,100.0
1530405000000000000,-0.398,54.12,32.25,30.05000000000001,100.0
1530405060000000000,-0.367,54.117,32.25,30.05000000000001,100.0
1530405120000000000,-0.393,54.112,32.25,30.05000000000001,100.0
1530405180000000000,-0.405,54.107,32.25,30.150000000000034,100.0
1530405240000000000,-0.382,54.103,32.25,30.05000000000001,100.0
1530405300000000000,-0.39,54.095,32.150000000000034,30.05000000000001,100.0
1530405360000000000,-0.389,54.091,32.150000000000034,30.150000000000034,100.0
1530405420000000000,-0.377,54.087,32.150000000000034,30.05000000000001,100.0
1530405480000000000,-0.385,54.081,32.25,30.05000000000001,100.0
1530405540000000000,-0.415,54.075,32.25,30.05000000000001,100.0
1530405600000000000,-0.397,54.07,32.25,30.05000000000001,100.0
1530405660000000000,-0.369,54.066,32.25,30.05000000000001,100.0
1530405720000000000,-0.394,54.06,32.25,30.05000000000001,100.0
1530405780000000000,-0.389,54.056,32.150000000000034,30.05000000000001,100.0
1530405840000000000,-0.385,54.05,32.05000000000001,30.05000000000001,100.0
1530405900000000000,-0.385,54.046,32.25,30.05000000000001,100.0
1530405960000000000,-0.406,54.042,32.150000000000034,30.05000000000001,100.0
1530406020000000000,-0.377,54.034,32.25,30.05000000000001,100.0
1530406080000000000,-0.384,54.031,32.25,30.05000000000001,100.0
1530406140000000000,-0.421,54.028,32.150000000000034,30.05000000000001,100.0
1530406200000000000,-0.385,54.021,32.25,30.05000000000001,100.0
1530406260000000000,-0.369,54.016,32.150000000000034,30.05000000000001,100.0
1530406320000000000,-0.406,54.014,32.150000000000034,30.05000000000001,100.0
1530406380000000000,-0.401,54.009,32.150000000000034,30.05000000000001,100.0
1530406440000000000,-0.345,54.001,32.35000000000002,30.05000000000001,100.0
1530406500000000000,-0.394,54.0,32.25,30.05000000000001,100.0
1530406560000000000,-0.408,53.994,32.25,30.05000000000001,100.0
1530406620000000000,-0.373,53.988,32.150000000000034,30.05000000000001,100.0
1530406680000000000,-0.393,53.982,32.150000000000034,30.05000000000001,100.0
1530406740000000000,-0.409,53.979,32.25,30.05000000000001,100.0
1530406800000000000,-0.371,53.979,32.25,29.950000000000045,100.0
1530406860000000000,-0.382,53.972,32.25,30.05000000000001,100.0
1530406920000000000,-0.411,53.966,32.25,30.05000000000001,100.0
