time,I,V,T_max,T_min,SOC
1551398400000000000,-0.369,55.269,16.450000000000045,14.350000000000023,100.0
1551398460000000000,-0.389,55.21,16.350000000000023,14.25,100.0
1551398520000000000,-0.401,55.161,16.450000000000045,14.25,100.0
1551398580000000000,-0.354,55.118,16.450000000000045,14.25,100.0
1551398640000000000,-0.416,55.055,16.450000000000045,14.25,100.0
1551398700000000000,-0.402,55.024,16.350000000000023,14.25,100.0
1551398760000000000,-0.363,54.991,16.350000000000023,14.25,100.0
1551398820000000000,-0.374,54.963,16.450000000000045,14.25,100.0
1551398880000000000,-0.397,54.935,16.350000000000023,14.25,100.0
1551398940000000000,-2.61,54.877,16.350000000000023,14.25,100.0
1551399000000000000,-0.413,54.862,16.350000000000023,14.25,100.0
1551399060000000000,-0.398,54.839,16.350000000000023,14.25,100.0
1551399120000000000,-0.382,54.818,16.25,14.150000000000034,100.0
1551399180000000000,-0.364,54.794,16.350000000000023,14.25,100.0
1551399240000000000,-0.385,54.773,16.350000000000023,14.25,100.0
1551399300000000000,-0.394,54.753,16.350000000000023,14.150000000000034,100.0
1551399360000000000,-0.368,54.731,16.25,14.150000000000034,100.0
1551399420000000000,-2.423,54.689,16.350000000000023,14.150000000000034,100.0
1551399480000000000,-0.438,54.677,16.150000000000034,14.050000000000011,100.0
1551399540000000000,-0.384,54.662,16.350000000000023,14.050000000000011,100.0
1551399600000000000,-0.397,54.646,16.150000000000034,14.150000000000034,100.0
1551399660000000000,-0.415,54.626,16.150000000000034,14.150000000000034,100.0
1551399720000000000,-0.389,54.611,16.25,14.050000000000011,100.0
1551399780000000000,-0.381,54.598,16.25,14.050000000000011,100.0
1551399840000000000,-0.41,54.582,16.150000000000034,14.050000000000011,100.0
1551399900000000000,-0.405,54.566,16.150000000000034,14.050000000000011,100.0
1551399960000000000,-0.419,54.544,16.150000000000034,14.150000000000034,100.0
1551400020000000000,-0.396,54.53,16.150000000000034,14.050000000000011,100.0
1551400080000000000,-0.409,54.515,16.150000000000034,14.050000000000011,100.0
1551400140000000000,-0.376,54.505,16.05000000000001,14.050000000000011,100.0
1551400200000000000,-0.389,54.494,16.150000000000034,14.050000000000011,100.0
1551400260000000000,-0.417,54.48,16.05000000000001,14.050000000000011,100.0
1551400320000000000,-0.389,54.466,16.05000000000001,13.950000000000045,100.0
1551400380000000000,-1.972,54.433,16.05000000000001,13.950000000000045,100.0
1551400440000000000,-0.45,54.435,16.05000000000001,14.050000000000011,100.0
1551400500000000000,-0.38,54.423,16.05000000000001,13.950000000000045,100.0
1551400560000000000,-0.386,54.412,15.950000000000045,13.950000000000045,100.0
1551400620000000000,-0.42,54.402,16.05000000000001,13.950000000000045,100.0
1551400680000000000,-0.405,54.391,16.05000000000001,13.950000000000045,100.0
1551400740000000000,-0.378,54.382,16.05000000000001,13.850000000000023,100.0
1551400800000000000,-0.427,54.369,15.950000000000045,13.850000000000023,100.0
1551400860000000000,-0.432,54.359,15.950000000000045,13.950000000000045,100.0
1551400920000000000,-0.379,54.351,15.950000000000045,13.950000000000045,100.0
1551400980000000000,-0.398,54.338,15.950000000000045,13.950000000000045,100.0
1551401040000000000,-0.462,54.324,15.850000000000023,13.850000000000023,100.0
1551401100000000000,-0.393,54.312,15.950000000000045,13.950000000000045,100.0
1551401160000000000,-0.383,54.303,15.950000000000045,13.950000000000045,100.0
1551401220000000000,-0.421,54.295,15.950000000000045,13.850000000000023,100.0
1551401280000000000,-0.395,54.286,15.850000000000023,13.950000000000045,100.0
1551401340000000000,-0.382,54.274,15.850000000000023,13.850000000000023,100.0
1551401400000000000,-0.419,54.267,15.850000000000023,13.850000000000023,100.0
1551401460000000000,-0.394,54.258,15.850000000000023,13.850000000000023,100.0
1551401520000000000,-0.417,54.242,15.75,13.850000000000023,100.0
1551401580000000000,-12.532,53.979,15.850000000000023,13.850000000000023,100.0
1551401640000000000,-12.25,53.801,15.850000000000023,13.850000000000023,100.0
1551401700000000000,-11.932,53.67,15.850000000000023,13.850000000000023,100.0
1551401760000000000,-11.696,53.567,15.850000000000023,13.850000000000023,100.0
1551401820000000000,-24.931,53.339,15.75,13.850000000000023,99.0
1551401880000000000,-2.502,53.43,15.850000000000023,13.850000000000023,99.0
1551401940000000000,-12.363,53.289,15.850000000000023,13.75,99.0
1551402000000000000,-12.245,53.24,15.650000000000034,13.850000000000023,99.0
1551402060000000000,-12.212,53.188,15.75,13.850000000000023,99.0
1551402120000000000,-12.14,53.139,15.650000000000034,13.75,99.0
1551402180000000000,-11.844,53.114,15.75,13.850000000000023,99.0
1551402240000000000,-11.995,53.077,15.75,13.75,99.0
1551402300000000000,-12.167,53.051,15.75,13.850000000000023,99.0
1551402360000000000,-12.148,53.034,15.850000000000023,13.75,99.0
1551402420000000000,-12.305,53.015,15.550000000000011,13.650000000000034,99.0
1551402480000000000,-11.897,53.0,15.650000000000034,13.650000000000034,99.0
1551402540000000000,-12.059,52.985,15.550000000000011,13.650000000000034,98.0
1551402600000000000,-29.556,52.808,15.550000000000011,13.650000000000034,98.0
1551402660000000000,-12.619,52.961,15.650000000000034,13.650000000000034,98.0
1551402720000000000,-12.494,52.952,15.550000000000011,13.550000000000011,98.0
1551402780000000000,-12.331,52.952,15.550000000000011,13.550000000000011,98.0
1551402840000000000,-12.382,52.949,15.550000000000011,13.650000000000034,98.0
1551402900000000000,-12.428,52.942,15.550000000000011,13.650000000000034,98.0
1551402960000000000,-12.422,52.937,15.650000000000034,13.550000000000011,98.0
1551403020000000000,-12.422,52.944,15.550000000000011,13.550000000000011,98.0
1551403080000000000,-12.247,52.946,15.550000000000011,13.550000000000011,98.0
1551403140000000000,-12.194,52.934,15.550000000000011,13.650000000000034,98.0
1551403200000000000,-3.003,53.005,15.550000000000011,13.550000000000011,97.0
1551403260000000000,-12.329,52.93,15.550000000000011,13.550000000000011,97.0
1551403320000000000,-12.35,52.931,15.550000000000011,13.550000000000011,97.0
1551403380000000000,-12.557,52.933,15.550000000000011,13.550000000000011,97.0
1551403440000000000,-12.382,52.926,15.450000000000045,13.550000000000011,97.0
1551403500000000000,-12.356,52.928,15.450000000000045,13.550000000000011,97.0
1551403560000000000,-13.482,52.915,15.550000000000011,13.550000000000011,97.0
1551403620000000000,-12.879,52.917,15.450000000000045,13.550000000000011,97.0
1551403680000000000,-12.84,52.908,15.450000000000045,13.550000000000011,97.0
1551403740000000000,-13.037,52.911,15.550000000000011,13.550000000000011,97.0
1551403800000000000,-12.69,52.913,15.450000000000045,13.550000000000011,96.0
1551403860000000000,-12.933,52.901,15.350000000000023,13.550000000000011,96.0
1551403920000000000,-16.946,52.867,15.350000000000023,13.550000000000011,96.0
1551403980000000000,-35.609,52.72,15.350000000000023,13.550000000000011,96.0
1551404040000000000,-21.365,52.796,15.350000000000023,13.550000000000011,96.0
1551404100000000000,-18.406,52.806,15.350000000000023,13.550000000000011,96.0
1551404160000000000,-21.05,52.786,15.350000000000023,13.75,96.0
1551404220000000000,-21.842,52.772,15.350000000000023,13.550000000000011,96.0
1551404280000000000,-19.225,52.786,15.350000000000023,13.550000000000011,95.0
1551404340000000000,-18.514,52.79,15.350000000000023,13.550000000000011,95.0
1551404400000000000,-18.532,52.78,15.350000000000023,13.550000000000011,95.0
1551404460000000000,-17.602,52.783,15.350000000000023,13.550000000000011,95.0
1551404520000000000,-21.59,52.748,15.350000000000023,13.550000000000011,95.0
1551404580000000000,-19.331,52.755,15.350000000000023,13.550000000000011,95.0
1551404640000000000,-18.871,52.758,15.350000000000023,13.550000000000011,95.0
1551404700000000000,-16.809,52.766,15.350000000000023,13.550000000000011,95.0
1551404760000000000,-40.822,52.569,15.25,13.550000000000011,94.0
1551404820000000000,-21.151,52.697,15.350000000000023,13.550000000000011,94.0
1551404880000000000,-16.935,52.735,15.350000000000023,13.550000000000011,94.0
1551404940000000000,-22.28,52.697,15.350000000000023,13.450000000000045,94.0
1551405000000000000,-21.607,52.695,15.25,13.550000000000011,94.0
1551405060000000000,-17.62,52.715,15.350000000000023,13.550000000000011,94.0
1551405120000000000,-21.529,52.686,15.350000000000023,13.350000000000023,93.0
1551405180000000000,-18.876,52.7,15.350000000000023,13.450000000000045,93.0
1551405240000000000,-18.659,52.693,15.350000000000023,13.450000000000045,93.0
1551405300000000000,-20.841,52.652,15.350000000000023,13.450000000000045,93.0
